,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
141,069620,KR7069620003,대웅제약,KOSPI,,154000,1,3000,1.99,154500,154500,150500,85919,13110058500,1784332550000,11586575,STK
142,007310,KR7007310006,오뚜기,KOSPI,,444500,1,2000,0.45,448500,454500,442000,5773,2576366000,1781480435000,4007830,STK
143,011210,KR7011210002,현대위아,KOSPI,,62800,1,1000,1.62,63500,63900,62100,136539,8579417900,1707851212400,27195083,STK
144,016710,KR7016710006,대성홀딩스,KOSPI,,105500,1,2500,2.43,103500,106000,102000,51003,5286760000,1697437924500,16089459,STK
145,298050,KR7298050006,효성첨단소재,KOSPI,,370000,1,7000,1.93,381500,382000,362000,59511,22034203500,1657580760000,4479948,STK
146,017390,KR7017390006,서울가스,KOSPI,,331000,1,1000,0.3,330500,333000,327500,29090,9593246000,1655000000000,5000000,STK
147,010120,KR7010120004,LS ELECTRIC,KOSPI,,54100,1,500,0.93,54700,54900,53300,122485,6592860600,1623000000000,30000000,STK
148,285130,KR7285130001,SK케미칼,KOSPI,,92200,1,2200,2.44,93000,93200,90800,120001,11069296300,1588725030200,17231291,STK
149,004000,KR7004000006,롯데정밀화학,KOSPI,,60800,2,-700,-1.14,62900,63400,60100,149679,9169743900,1568640000000,25800000,STK
150,001120,KR7001120005,LX인터내셔널,KOSPI,,40400,2,-700,-1.7,41750,41800,40000,425439,17245800100,1565904000000,38760000,STK
151,051600,KR7051600005,한전KPS,KOSPI,,34350,1,550,1.63,34150,34750,34100,196970,6766677550,1545750000000,45000000,STK
152,000150,KR7000150003,두산,KOSPI,,92700,1,1200,1.31,95200,95300,91200,172211,15955255900,1531759504500,16523835,STK
153,004800,KR7004800009,효성,KOSPI,,72600,1,500,0.69,73600,73700,72500,53171,3872426200,1529756415000,21071025,STK
154,108320,KR7108320003,LX세미콘,KOSPI,,93800,1,4100,4.57,95800,95800,92400,390385,36844708100,1525591340000,16264300,STK
155,006280,KR7006280002,녹십자,KOSPI,,130500,1,4500,3.57,129500,131000,126500,84141,10860354500,1525093209000,11686538,STK
156,005850,KR7005850003,에스엘,KOSPI,,32600,1,1100,3.49,32750,32900,32000,214094,6952876250,1514221752000,46448520,STK
157,375500,KR7375500006,DL이앤씨,KOSPI,,38850,1,1200,3.19,38900,39100,38350,203581,7905279900,1503247253550,38693623,STK
158,175330,KR7175330000,JB금융지주,KOSPI,,7420,1,10,0.13,7490,7530,7400,321437,2391493610,1461613073480,196982894,STK
159,003620,KR7003620002,쌍용차,KOSPI,,8760,0,0,0.0,0,0,0,0,0,1457789145360,166414286,STK
160,042670,KR7042670000,현대두산인프라코어,KOSPI,,7300,1,120,1.67,7380,7390,6970,5278496,38077529540,1443672900300,197763411,STK
161,267260,KR7267260008,현대일렉트릭,KOSPI,,38400,3,0,0.0,39500,39550,37800,311684,11915597900,1384209984000,36047135,STK
162,014820,KR7014820005,동원시스템즈,KOSPI,,47400,1,1200,2.6,47050,47650,46600,16343,772196400,1374186766800,28991282,STK
163,069960,KR7069960003,현대백화점,KOSPI,,58700,1,400,0.69,59700,59900,58400,115792,6805942600,1373723286700,23402441,STK
164,000670,KR7000670000,영풍,KOSPI,,743000,1,23000,3.19,733000,765000,725000,26436,19680110000,1368635720000,1842040,STK
165,005300,KR7005300009,롯데칠성,KOSPI,,147000,1,3500,2.44,146000,149000,144000,44968,6600371500,1363995948000,9278884,STK
166,336370,KR7336370002,솔루스첨단소재,KOSPI,,38700,1,3900,11.21,36100,40900,35400,1079406,41458086700,1358803246500,35111195,STK
167,298020,KR7298020009,효성티앤씨,KOSPI,,313500,1,8000,2.62,314500,318500,307500,36438,11390828000,1356728307000,4327682,STK
168,000210,KR7000210005,DL,KOSPI,,64500,1,500,0.78,66400,66600,64100,67162,4371226600,1351654518000,20955884,STK
169,271940,KR7271940009,일진하이솔루스,KOSPI,,36050,1,1500,4.34,35850,36500,35400,191884,6906999600,1309090499500,36313190,STK
170,120110,KR7120110002,코오롱인더,KOSPI,,46800,1,1050,2.3,47200,47250,46400,192233,9009680350,1287893458800,27519091,STK
171,004690,KR7004690004,삼천리,KOSPI,,308000,1,5500,1.82,303000,313000,302500,39816,12278715000,1248947700000,4055025,STK
172,093370,KR7093370005,후성,KOSPI,,13350,1,400,3.09,13500,13600,13150,1969029,26297664450,1236301033650,92606819,STK
173,353200,KR7353200009,대덕전자,KOSPI,,24900,1,1350,5.73,24850,25050,24350,1040142,25774522500,1230481432500,49416925,STK
174,003090,KR7003090008,대웅,KOSPI,,21000,1,1150,5.79,20250,21000,20250,60132,1243381450,1220981580000,58141980,STK
175,042700,KR7042700005,한미반도체,KOSPI,,12300,1,450,3.8,12600,12600,12200,572041,7065766850,1216712974200,98919754,STK
176,000240,KR7000240002,한국앤컴퍼니,KOSPI,,12750,1,300,2.41,12700,12850,12650,85080,1083215850,1210424310000,94935240,STK
177,019170,KR7019170000,신풍제약,KOSPI,,22650,1,1150,5.35,21950,22650,21900,334790,7478169250,1200110023500,52984990,STK
178,280360,KR7280360009,롯데제과,KOSPI,,127000,2,-3000,-2.31,132000,132000,126000,21808,2788212000,1198190898000,9434574,STK
179,001230,KR7001230002,동국제강,KOSPI,,12550,1,250,2.03,12750,12800,12350,537645,6731879800,1197680849350,95432737,STK
180,139130,KR7139130009,DGB금융지주,KOSPI,,6870,1,80,1.18,6930,6950,6840,706596,4861612280,1162031872710,169145833,STK
181,017800,KR7017800004,현대엘리베이,KOSPI,,28000,1,900,3.32,28000,28100,27500,150637,4197953600,1142825348000,40815191,STK
182,018670,KR7018670000,SK가스,KOSPI,,119000,1,500,0.42,120000,120500,118000,8904,1061462500,1098399036000,9230244,STK
183,089860,KR7089860001,롯데렌탈,KOSPI,,29300,1,300,1.03,30000,30000,29050,147205,4325537100,1073378045900,36634063,STK
184,012510,KR7012510004,더존비즈온,KOSPI,,34550,1,1800,5.5,33900,35100,33300,235570,8093346900,1049725187200,30382784,STK
185,010780,KR7010780005,아이에스동서,KOSPI,,33750,1,700,2.12,33750,34350,33000,85508,2870745850,1042625452500,30892606,STK
186,009240,KR7009240003,한샘,KOSPI,,44250,1,1500,3.51,44000,44800,43550,47371,2087516850,1041376314000,23533928,STK
187,001740,KR7001740000,SK네트웍스,KOSPI,,4155,1,130,3.23,4115,4160,4080,683933,2820571760,1031219673285,248187647,STK
188,114090,KR7114090004,GKL,KOSPI,,16650,1,750,4.72,16350,16650,16100,912681,14944189350,1029896905500,61855670,STK
189,185750,KR7185750007,종근당,KOSPI,,85300,1,900,1.07,86000,86200,85300,19181,1646673400,1022579641400,11988038,STK
190,009900,KR7009900002,명신산업,KOSPI,,18800,1,1700,9.94,17800,19550,17550,3035527,56467971350,986438500400,52470133,STK
191,178920,KR7178920005,PI첨단소재,KOSPI,,33350,1,1300,4.06,32950,33700,32800,174157,5787659000,979366838700,29366322,STK
